Date,Gold,SP500
2024-01-02,2064.39990234375,4742.830078125
2024-01-03,2034.199951171875,4704.81005859375
2024-01-04,2042.300048828125,4688.68017578125
2024-01-05,2042.4000244140625,4697.240234375
2024-01-08,2026.5999755859375,4763.5400390625
2024-01-09,2026.4000244140625,4756.5
2024-01-10,2021.699951171875,4783.4501953125
2024-01-11,2014.300048828125,4780.240234375
2024-01-12,2046.699951171875,4783.830078125
2024-01-16,2026.0,4765.97998046875
2024-01-17,2002.5999755859375,4739.2099609375
2024-01-18,2018.5999755859375,4780.93994140625
2024-01-19,2026.5,4839.81005859375
2024-01-22,2019.800048828125,4850.43017578125
2024-01-23,2023.699951171875,4864.60009765625
2024-01-24,2013.9000244140625,4868.5498046875
2024-01-25,2016.9000244140625,4894.16015625
2024-01-26,2016.800048828125,4890.97021484375
2024-01-29,2025.199951171875,4927.93017578125
2024-01-30,2031.5,4924.97021484375
2024-01-31,2048.39990234375,4845.64990234375
2024-02-01,2053.0,4906.18994140625
2024-02-02,2036.0999755859375,4958.60986328125
2024-02-05,2025.699951171875,4942.81005859375
2024-02-06,2034.5,4954.22998046875
2024-02-07,2035.199951171875,4995.06005859375
2024-02-08,2032.199951171875,4997.91015625
2024-02-09,2023.300048828125,5026.60986328125
2024-02-12,2018.199951171875,5021.83984375
2024-02-13,1992.9000244140625,4953.169921875
2024-02-14,1990.300048828125,5000.6201171875
2024-02-15,2002.0999755859375,5029.72998046875
2024-02-16,2011.5,5005.56982421875
2024-02-20,2027.5,4975.509765625
2024-02-21,2022.300048828125,4981.7998046875
2024-02-22,2019.699951171875,5087.02978515625
2024-02-23,2038.5999755859375,5088.7998046875
2024-02-26,2028.5,5069.52978515625
2024-02-27,2034.0,5078.18017578125
2024-02-28,2033.0,5069.759765625
2024-02-29,2045.699951171875,5096.27001953125
2024-03-01,2086.89990234375,5137.080078125
2024-03-04,2117.699951171875,5130.9501953125
2024-03-05,2133.5,5078.64990234375
2024-03-06,2150.300048828125,5104.759765625
2024-03-07,2158.0,5157.35986328125
2024-03-08,2178.60009765625,5123.68994140625
2024-03-11,2182.5,5117.93994140625
2024-03-12,2160.39990234375,5175.27001953125
2024-03-13,2175.39990234375,5165.31005859375
2024-03-14,2163.0,5150.47998046875
2024-03-15,2157.300048828125,5117.08984375
2024-03-18,2160.699951171875,5149.419921875
2024-03-19,2156.300048828125,5178.509765625
2024-03-20,2157.89990234375,5224.6201171875
2024-03-21,2182.39990234375,5241.52978515625
2024-03-22,2158.10009765625,5234.18017578125
2024-03-25,2174.800048828125,5218.18994140625
2024-03-26,2175.60009765625,5203.580078125
2024-03-27,2190.60009765625,5248.490234375
2024-03-28,2217.39990234375,5254.35009765625
2024-04-01,2236.5,5243.77001953125
2024-04-02,2261.0,5205.81005859375
2024-04-03,2294.39990234375,5211.490234375
2024-04-04,2288.800048828125,5147.2099609375
2024-04-05,2325.699951171875,5204.33984375
2024-04-08,2331.699951171875,5202.39013671875
2024-04-09,2343.5,5209.91015625
2024-04-10,2329.60009765625,5160.64013671875
2024-04-11,2354.800048828125,5199.06005859375
2024-04-12,2356.199951171875,5123.41015625
2024-04-15,2365.800048828125,5061.81982421875
2024-04-16,2390.800048828125,5051.41015625
2024-04-17,2371.699951171875,5022.2099609375
2024-04-18,2382.300048828125,5011.1201171875
2024-04-19,2398.39990234375,4967.22998046875
2024-04-22,2332.199951171875,5010.60009765625
2024-04-23,2327.699951171875,5070.5498046875
2024-04-24,2324.5,5071.6298828125
2024-04-25,2329.800048828125,5048.419921875
2024-04-26,2334.800048828125,5099.9599609375
2024-04-29,2345.39990234375,5116.169921875
2024-04-30,2291.39990234375,5035.68994140625
2024-05-01,2299.89990234375,5018.39013671875
2024-05-02,2299.199951171875,5064.2001953125
2024-05-03,2299.0,5127.7900390625
2024-05-06,2321.60009765625,5180.740234375
2024-05-07,2315.199951171875,5187.7001953125
2024-05-08,2313.60009765625,5187.669921875
2024-05-09,2332.10009765625,5214.080078125
2024-05-10,2367.300048828125,5222.68017578125
2024-05-13,2336.10009765625,5221.419921875
2024-05-14,2353.39990234375,5246.68017578125
2024-05-15,2388.699951171875,5308.14990234375
2024-05-16,2380.0,5297.10009765625
2024-05-17,2412.199951171875,5303.27001953125
2024-05-20,2433.89990234375,5308.1298828125
2024-05-21,2421.699951171875,5321.41015625
2024-05-22,2389.199951171875,5307.009765625
2024-05-23,2335.0,5267.83984375
2024-05-24,2332.5,5304.72021484375
2024-05-28,2355.199951171875,5306.0400390625
2024-05-29,2340.300048828125,5266.9501953125
2024-05-30,2342.89990234375,5235.47998046875
2024-05-31,2322.89990234375,5277.509765625
2024-06-03,2346.60009765625,5283.39990234375
2024-06-04,2325.5,5291.33984375
2024-06-05,2354.10009765625,5354.02978515625
2024-06-06,2370.300048828125,5352.9599609375
2024-06-07,2305.199951171875,5346.990234375
2024-06-10,2307.699951171875,5360.7900390625
2024-06-11,2307.5,5375.31982421875
2024-06-12,2336.0,5421.02978515625
2024-06-13,2300.199951171875,5433.740234375
2024-06-14,2331.39990234375,5431.60009765625
2024-06-17,2312.39990234375,5473.22998046875
2024-06-18,2330.39990234375,5487.02978515625
2024-06-20,2353.800048828125,5473.169921875
2024-06-21,2316.39990234375,5464.6201171875
2024-06-24,2330.0,5447.8701171875
2024-06-25,2316.60009765625,5469.2998046875
2024-06-26,2299.199951171875,5477.89990234375
2024-06-27,2324.5,5482.8701171875
2024-06-28,2327.699951171875,5460.47998046875
2024-07-01,2327.60009765625,5475.08984375
2024-07-02,2323.0,5509.009765625
2024-07-03,2359.800048828125,5537.02001953125
2024-07-05,2388.5,5567.18994140625
2024-07-08,2355.199951171875,5572.85009765625
2024-07-09,2360.10009765625,5576.97998046875
2024-07-10,2372.199951171875,5633.91015625
2024-07-11,2415.0,5584.5400390625
2024-07-12,2414.0,5615.35009765625
2024-07-15,2422.89990234375,5631.22021484375
